Account_Id,Name,Type,Fax,Phone,Website,Industry,AccountNumber,SICCode__c,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Rating,OwnerId,SLAExpirationDate__c,SLASerialNumber__c,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,ShippingStreet,Description,CleanStatus,CustomerPriority,Active__c,NumberOfLocations__c,abcd,LastModifiedDate
88e7c138-5188-433b-ac4d-deb1baa25539,Watson-Turner,Prospect,001-985-728-1030x67432,001-720-632-5178,https://stark.biz/,Retail,7784,9135,873392,72,Public,AAPL,Warm,088c6abd-650e-46ca-bf2f-1f18461f58b4,7/30/2022 22:03,5226,028 Wade Inlet Apt. 714,South Melvinchester,NJ,95810,Lao People's Democratic Republic,333 Jerry Summit Suite 717,Spring arm use voice wish me. Exist alone individual attention.,Rejected,Medium,Yes,9,12/11/2022 20:17,6/5/2022 18:38
c8840df3-159d-4500-b717-2e139916d9b2,Gray-Hardin,Customer - Direct,220.619.9225x428,163.815.3197x974,http://www.jarvis.com/,Manufacturing,6740,2889,402350,85,Public,MSFT,Hot,4630ce72-ab84-4110-8ca3-f53d2f7dea70,6/9/2022 7:08,4954,8704 Joy Heights,South Natalieberg,KY,41146,Burkina Faso,99974 Floyd Wells Suite 496,Build yes else share decide. Discuss price record. Skill color oil almost pressure record news.,Pending,High,No,6,12/18/2022 14:08,9/19/2022 9:29
0c095558-a5f0-4545-8b73-f467b85a9289,Kennedy-Craig,Prospect,(270)080-0618x938,482.531.1349x93999,http://www.brooks.net/,Healthcare,7927,5739,278130,53,Subsidiary,MSFT,Hot,cde13481-6ac3-49a3-8827-a99fac59857a,10/19/2022 1:12,7507,17407 Anthony Forest Suite 299,Lake Juliachester,AL,58140,Taiwan,082 Angela Tunnel,Believe girl draw page successful figure. Fire like machine design election. Garden article hotel girl treatment speech common.,Pending,Medium,No,1,6/16/2022 6:59,2/28/2023 19:03
b39dc469-55d0-4662-a97f-cbaef0b11e55,"Shah, Lopez and Mclean",Customer - Direct,979.238.9440x45087,4146028312,http://cole-adams.com/,Finance,3652,6434,637468,76,Partnership,AAPL,Warm,62561375-f18b-4f5d-ab57-4f7712cf42a8,3/6/2023 13:50,9493,67084 Amanda Villages Apt. 437,Woodardberg,HI,55412,Algeria,6683 Gonzalez Avenue,Trouble reveal effort attack their lot. Would yet draw act.,Pending,Low,Yes,10,2/18/2023 21:30,9/1/2022 20:11
af369416-006e-4dbf-8bbc-370fcd581ec4,"Casey, Lee and Rosales",Prospect,498.796.6425,389913887,http://www.miller.net/,Healthcare,3196,3690,229674,44,Public,GOOG,Hot,70a1239f-30ef-4b18-8255-2dc9a22b3b19,9/13/2022 11:50,6762,07005 Carol Divide Apt. 692,Matthewsmouth,PW,15025,Barbados,47955 Perez Highway Suite 149,Professor keep vote subject agent. Pm chair method data strong bring dream painting. Fish local foreign not garden knowledge.,Rejected,Low,No,4,1/14/2023 23:26,6/28/2022 13:49
3d884b30-79fb-4fb1-a165-5e8736e220e9,Watson-Weaver,Customer - Direct,(293)938-1496x992,363-801-8658x034,http://gonzalez.com/,Retail,3311,8028,838210,11,Partnership,AAPL,Cold,701ce4fb-48b8-45fe-a062-1f2901e72eee,11/9/2022 20:44,7807,1545 Danielle Manors,Michaelfurt,GU,71107,Oman,115 Prince Falls,Moment either difficult indeed practice read explain fill. Conference serve but action training lead. Sure audience look. Truth vote leader north hour.,Rejected,Low,Yes,10,4/14/2022 3:30,8/14/2022 12:56
b0b66f03-42dc-40ab-aa11-1f74a14f5b3a,"Weaver, Davis and Brown",Customer - Direct,9647605402,001-791-946-4661x010,https://lyons.net/,Technology,8184,5800,340044,59,Public,AAPL,Warm,9330550e-826f-4675-864d-a802fe7c8655,11/7/2022 5:37,2076,93171 Robinson Square,Nancymouth,IL,12802,Nepal,084 Hayes View,Style if action central. Career whether left station fly avoid home. Be capital plant instead.,Pending,High,No,4,12/30/2022 10:21,9/11/2022 6:31
f22aa650-722f-4428-a457-5796f98cc14d,Morris Ltd,Prospect,+1-055-134-2808x980,001-643-598-6602x74609,https://robinson.com/,Retail,2631,6278,453347,83,Public,AMZN,Hot,89e5eb8d-0d3b-42b7-8b50-a5128ffd57d7,6/10/2022 13:29,2055,97671 Luna Bypass,Knappstad,LA,87631,Gambia,018 Chad Summit,Concern identify while top improve. Part partner view money. Through admit five back doctor sign land.,Rejected,Medium,No,5,9/21/2022 3:31,4/8/2022 9:02
02c38958-f7cc-4a02-bcf1-912451b5fb9a,Rhodes Inc,Prospect,859.049.6836,001-506-996-5762x18089,https://jones.info/,Technology,6184,7594,158715,51,Public,MSFT,Cold,cf8469a8-c7b0-45d1-acd9-e20e0d954c1f,4/13/2022 12:56,4750,96745 Brianna Heights,Michaelhaven,ND,57941,Angola,213 Thomas Grove,Fund security meet people minute media. Two board energy call discover system when.,Approved,Medium,Yes,5,6/10/2022 1:32,11/10/2022 20:16
6fdadcbc-3522-4660-a2b9-270185d031ce,Cummings-Lambert,Prospect,5795048970,(032)668-1603x1794,http://www.eaton-cook.net/,Manufacturing,9609,8517,632732,69,Public,AAPL,Warm,54fa16f4-8cd3-4f68-a8dc-eb8daf7cfad6,11/1/2022 22:06,4759,5473 Camacho Mount,Theresaton,WA,18605,Madagascar,5639 Webb Key Suite 528,Doctor not develop kind wish.,Pending,Medium,Yes,4,12/5/2022 19:37,3/15/2023 5:59
