Opportunity_Id,AccountId,OwnerId,Name,StageName,Amount,Probability,ExpectedRevenue,Type,LeadSource,ForecastCategory,ForecastCategoryName,CreatedDate,FiscalQuarter,FiscalYear,DeliveryInstallationStatus__c,TrackingNumber__c,OrderNumber__c,CurrentGenerators__c,MainCompetitors__c,,
121b62df-fd1a-446a-83a6-3832710d7e0f,0558919d-d991-4262-8168-fca97fa865e5,67ef5ff1-d8ea-4530-9574-b8dbe18bffba,Friedman-Davis,Proposal/Price Quote,780500,40,58993,Add-On Business,Web,Best Case,Best Case,6/19/2022 17:41,2,2023,Completed,259275,3887,Word of mouth,Oracle,,"insert into Opportunity  values('121b62df-fd1a-446a-83a6-3832710d7e0f','0558919d-d991-4262-8168-fca97fa865e5','67ef5ff1-d8ea-4530-9574-b8dbe18bffba','Friedman-Davis','Proposal/Price Quote','780500','40','58993','Add-On Business','Web','Best Case','Best Case','2022-06-19','2','1905','Completed','259275','3887','Word of mouth','Oracle')"
5aa4399f-91ff-4b64-be75-94128f9b579b,b3cd9480-0f8f-460f-9d12-a9ceb8454aae,efcd460a-734b-457e-a96e-b5327d1a381e,"Torres, Peck and Burns",Closed Won,101774,66,7647,Add-On Business,Partner Referral,Best Case,Omitted,11/23/2022 23:05,4,2020,Completed,765436,2828,Word of mouth,SAP,,"insert into Opportunity  values('5aa4399f-91ff-4b64-be75-94128f9b579b','b3cd9480-0f8f-460f-9d12-a9ceb8454aae','efcd460a-734b-457e-a96e-b5327d1a381e','Torres, Peck and Burns','Closed Won','101774','66','7647','Add-On Business','Partner Referral','Best Case','Omitted','2022-11-23','4','1905','Completed','765436','2828','Word of mouth','SAP')"
3f141b39-b55e-4946-98ee-7cfe58900138,b9ed01e5-b06f-4f3c-8200-28753e57076b,137bdef7-22a8-4f61-bfa5-fb6d02d4a452,Peterson-Gross,Closed Lost,637183,62,81235,Add-On Business,Phone Inquiry,Omitted,Omitted,1/23/2023 5:11,3,2023,Pending,294497,3756,Salesforce.com,Oracle,,"insert into Opportunity  values('3f141b39-b55e-4946-98ee-7cfe58900138','b9ed01e5-b06f-4f3c-8200-28753e57076b','137bdef7-22a8-4f61-bfa5-fb6d02d4a452','Peterson-Gross','Closed Lost','637183','62','81235','Add-On Business','Phone Inquiry','Omitted','Omitted','2023-01-23','3','1905','Pending','294497','3756','Salesforce.com','Oracle')"
d01ebc97-faab-41ac-b8d0-c76147f24a78,0ebea53d-1ac7-480e-8181-fafdfed1522e,548c5968-6be0-4438-8eda-a11100bc9774,Smith LLC,Qualification,558945,98,15745,Add-On Business,Web,Pipeline,Pipeline,5/1/2022 13:21,3,2022,Completed,863800,8527,Salesforce.com,SAP,,"insert into Opportunity  values('d01ebc97-faab-41ac-b8d0-c76147f24a78','0ebea53d-1ac7-480e-8181-fafdfed1522e','548c5968-6be0-4438-8eda-a11100bc9774','Smith LLC','Qualification','558945','98','15745','Add-On Business','Web','Pipeline','Pipeline','2022-05-01','3','1905','Completed','863800','8527','Salesforce.com','SAP')"
9322d63e-904d-48cb-b689-644b225a9c40,9341a016-a584-4e1f-a61b-57472ea559ab,16b6c6e2-1817-41ce-b104-31ed0c433931,"Phillips, Donovan and Dunn",Proposal/Price Quote,951307,18,5808,New Business,Phone Inquiry,Best Case,Omitted,5/29/2022 9:38,4,2021,Completed,102895,6235,Partner Referral,IBM,,"insert into Opportunity  values('9322d63e-904d-48cb-b689-644b225a9c40','9341a016-a584-4e1f-a61b-57472ea559ab','16b6c6e2-1817-41ce-b104-31ed0c433931','Phillips, Donovan and Dunn','Proposal/Price Quote','951307','18','5808','New Business','Phone Inquiry','Best Case','Omitted','2022-05-29','4','1905','Completed','102895','6235','Partner Referral','IBM')"
5d696647-0b85-482a-990b-4ca125e2cd97,0110bdef-2755-4604-a971-d1d495180106,9418058d-7a67-4420-a8bf-30a7766d51ca,"Wilson, Hicks and Smith",Negotiation/Review,605889,62,41619,Add-On Business,Web,Omitted,Pipeline,5/31/2022 3:21,3,2021,Completed,170668,4727,Partner Referral,IBM,,"insert into Opportunity  values('5d696647-0b85-482a-990b-4ca125e2cd97','0110bdef-2755-4604-a971-d1d495180106','9418058d-7a67-4420-a8bf-30a7766d51ca','Wilson, Hicks and Smith','Negotiation/Review','605889','62','41619','Add-On Business','Web','Omitted','Pipeline','2022-05-31','3','1905','Completed','170668','4727','Partner Referral','IBM')"
35a5fda5-a795-44e0-89f4-7b9f07fce86b,d4f4365b-d776-4f99-919f-88e7f8962003,903de905-cccd-4628-bf99-28afdaf57ddb,Farmer PLC,Closed Lost,400668,80,25032,New Business,Web,Commit,Pipeline,4/8/2022 3:34,3,2022,Completed,870630,3603,Vendor Referral,Microsoft,,"insert into Opportunity  values('35a5fda5-a795-44e0-89f4-7b9f07fce86b','d4f4365b-d776-4f99-919f-88e7f8962003','903de905-cccd-4628-bf99-28afdaf57ddb','Farmer PLC','Closed Lost','400668','80','25032','New Business','Web','Commit','Pipeline','2022-04-08','3','1905','Completed','870630','3603','Vendor Referral','Microsoft')"
3d89b014-ff7d-46db-bd2f-9c8dae3a47e0,85a5c518-07cc-405d-ba1a-068471afb62e,64bba8e4-f892-4b87-8aba-76d91722d80a,Petersen and Sons,Negotiation/Review,54882,34,82185,Add-On Business,Purchased List,Pipeline,Omitted,9/4/2022 0:06,1,2020,Pending,962903,1333,Word of mouth,Oracle,,"insert into Opportunity  values('3d89b014-ff7d-46db-bd2f-9c8dae3a47e0','85a5c518-07cc-405d-ba1a-068471afb62e','64bba8e4-f892-4b87-8aba-76d91722d80a','Petersen and Sons','Negotiation/Review','54882','34','82185','Add-On Business','Purchased List','Pipeline','Omitted','2022-09-04','1','1905','Pending','962903','1333','Word of mouth','Oracle')"
fe0558e1-af51-4949-a33e-87741f6df5d6,2dba1a26-1600-4916-8030-ba6238d8628a,a2f8a6d7-4bdb-4b29-a307-a57eaf031465,Ramirez-Harris,Closed Lost,316823,96,19432,New Business,Purchased List,Omitted,Pipeline,1/23/2023 6:07,4,2023,Completed,288993,2504,Word of mouth,Oracle,,"insert into Opportunity  values('fe0558e1-af51-4949-a33e-87741f6df5d6','2dba1a26-1600-4916-8030-ba6238d8628a','a2f8a6d7-4bdb-4b29-a307-a57eaf031465','Ramirez-Harris','Closed Lost','316823','96','19432','New Business','Purchased List','Omitted','Pipeline','2023-01-23','4','1905','Completed','288993','2504','Word of mouth','Oracle')"
1f343576-4cba-4024-80bd-85dabbaf39bd,0305e660-5855-4fde-b1c9-c2a01b12e7b4,b473fc73-999e-4c92-9eda-0294140cdecd,Melendez-Brown,Proposal/Price Quote,144654,4,91686,New Business,Partner Referral,Best Case,Best Case,4/26/2022 19:06,1,2022,Pending,931485,2564,Vendor Referral,SAP,,"insert into Opportunity  values('1f343576-4cba-4024-80bd-85dabbaf39bd','0305e660-5855-4fde-b1c9-c2a01b12e7b4','b473fc73-999e-4c92-9eda-0294140cdecd','Melendez-Brown','Proposal/Price Quote','144654','4','91686','New Business','Partner Referral','Best Case','Best Case','2022-04-26','1','1905','Pending','931485','2564','Vendor Referral','SAP')"
